"","HE_AMI1_S7","HE_AMI2_S8","HE_AMI3_S9","HE_CLA1_S10","HE_CLA2_S11","HE_CLA3_S12","HE_NCA1_S19","HE_NCA2_S20","HE_NCA3_S21","HE_NTP1_S4","HE_NTP2_S5","HE_NTP3_S6","HE_NTP_AMI1_S13","HE_NTP_AMI2_S14","HE_NTP_AMI3_S15","HE_NTP_CLA1_S16","HE_NTP_CLA2_S17","HE_NTP_CLA3_S18","HE_unt1_S1","HE_unt2_S2","HE_unt3_S3"
"MAB_4758",56.7,65.3,40.54,49.81,39.97,62.7,96.53,225.81,92.3,92.88,80.82,109.16,76.69,74.07,88.2,60.07,61.77,59.57,98.22,108.03,86.59
"MAB_4759",10.72,19.24,10.05,17.19,18.08,10.51,9.03,21.74,11.35,29.34,20.46,24.89,26,21.46,22.59,24.7,20.39,20.73,35.26,29.2,27.3
"MAB_4760",25.23,27.88,14.04,21.84,14.27,26.53,9.07,8.26,5,27.34,24.49,22.23,22.16,26.66,42.82,29.43,30.53,32.72,35.14,20.05,24.91
"MAB_4761",203.55,177.3,135.54,180.8,152.57,195,129.8,242.42,144.16,256.16,200.32,235.04,264.24,258.43,288.77,310.78,399.03,457.47,242.59,222.24,195.08
"MAB_4762",391.08,347.35,259.49,313.61,291.31,427.11,149.27,400.2,168.81,792.99,659.55,803.07,485.65,426.12,424.11,386.91,340,452.99,1248.91,1387.45,1213.39
"MAB_4763c",69.51,59.85,47.04,42.92,29.14,56.45,31.15,41,22.05,117.27,115.51,100,81.28,78.55,78.08,77.54,42.41,41.46,137.34,156.69,168.57
"MAB_4764c",57.99,47.57,33.7,29.19,28.73,38.27,37,26.46,36.2,48.54,44.34,63.07,58.57,88.82,84.95,73.82,67.77,57.99,47.86,62.86,39.01
"MAB_4765",182.69,180.09,141.47,147.74,125.14,180.39,90.34,112.86,115.39,170.95,189.95,250.97,256.7,301.27,232.82,208.45,167.01,186.88,176.04,136.39,123.23
"MAB_4766",146.66,80.69,131.72,80.26,47.78,84.11,12.8,51.89,16.03,71.64,82.66,95.76,63.58,66.11,109.99,82.62,63.91,68.84,65.32,81.38,62.77
"MAB_4767",103.89,141.46,84.95,109.03,65.08,151.72,176.31,145.35,205.88,125.19,122.85,147.3,162.05,187.54,178.73,130.62,130.95,150.24,101.34,108.41,92.62
"MAB_4768c",193.64,195.49,107.27,170.27,152.23,240.03,80.58,176.28,82.19,355.38,270.81,314.12,198.19,220.97,234.42,273.57,223.51,260.68,372.72,421.93,382.54
"MAB_4769c",60.22,42.85,26.86,83.95,71.55,78.27,19.19,50.73,12.31,70.62,44.99,74.35,39.72,34.58,40.36,81.18,97.64,126.53,71.68,68.43,69.19
"MAB_4770c",35.64,36.91,33.92,135.86,90.65,121.18,11.09,10.19,7.89,45.49,42.55,37.73,45.89,53.82,38.81,203.47,221.51,235.64,57.86,70.04,53.57
"MAB_4771",90.65,54.89,75.49,62.04,44.93,61.41,20.91,35.07,12.11,131.54,112.24,114.03,86.85,84.58,94.92,61,66.89,70.85,164.53,144.73,150.93
"MAB_4772",90.39,99.64,62.95,51.03,43,67.49,8.93,11.57,13.46,109.59,77.26,88.76,73.58,78.53,76.69,59.16,64.77,59.45,82.49,74.26,75.19
"MAB_4773",92.34,102.36,74.41,95.84,65,151.35,16.68,42.96,18.84,67.54,81.23,116.95,113.81,151.03,162.34,133.5,135.55,130.07,89.65,80.41,115.11
"MAB_4774c",195.01,225.55,147.18,220.65,172.85,232.66,38.38,66.65,42.88,167.49,267.69,238.04,276.46,279.27,346.08,226.42,251.64,267.05,350.39,341.09,303.78
"MAB_4775c",263.18,217.19,191.07,1065.81,813.73,959.18,59.59,53.93,55.57,452.57,506.45,543.22,224.85,179.78,146.05,705.45,791.68,931.8,963.09,977.84,960.07
"MAB_4776c",180.84,151.2,135.51,147.28,123.3,171.32,53,46.61,50.09,166.78,125.08,137.5,224.99,176.43,217.2,178.92,193.99,191.7,143.89,147.46,117.5
"MAB_4777c",643.51,552.05,458.77,543.38,395.28,645.19,309.41,384.54,362.08,741.05,593.84,670.92,705.81,712.65,663.49,669.46,690.97,791.32,664.09,738.51,829.51
"MAB_4778c",227.57,199.04,208.61,189.31,129.72,191.19,416.18,572.28,461.32,253.41,284.93,308.77,466.65,456.27,439.27,339.05,384.57,414.05,191.39,234.12,218.54
"MAB_4779",149.38,118.03,106.96,114.57,83.24,92.27,177.49,237.16,237.51,192.46,175.15,223.39,316.42,301.57,182.36,206.69,232.45,265.35,150.23,183.51,148.12
"MAB_4780",554.41,521.66,380.95,596.74,494.91,694.15,54.73,57.77,60.38,761.12,595.57,717.69,561.03,431.34,572.82,654.72,605.57,755.09,817.12,757.54,740.55
"MAB_4781c",323.32,288.28,248.7,235.58,187.86,275.78,79.3,67.62,93.08,281.14,265.36,280.59,288.32,287.78,342.74,300.27,265.46,269.34,396.82,332.86,349.68
"MAB_4782",468.32,545.38,281.97,438.49,380.49,428.12,167.07,183.76,203.03,788.27,690.24,819.91,523.08,546.88,522.03,640.18,451.35,601.92,867.07,749.69,679.04
"MAB_4783",804.83,814.7,544.27,1116.7,750.92,1173.27,93.64,84.42,107.33,352.99,493.09,520.82,692.56,761.37,639.2,1001.53,857.56,1099.9,259.85,256.39,262.37
"MAB_4784",36.39,42.96,20.15,228.49,113.85,215.01,230.74,308.46,449.14,31.26,68.68,60.36,53.8,71.03,43.39,77.23,57.07,102.12,25.62,37.28,26.84
"MAB_4785",133.93,192.36,76.84,570.99,320.11,630.41,1523.96,1300.09,1712.19,127.26,127.38,134.77,152.23,262.46,257.86,293.69,271.55,370.23,92.03,73.85,87.12
"MAB_4786c",40.47,56.72,34.15,93.59,57.07,101.43,284.19,255.49,329.8,40.42,41.92,36.09,76.15,90.05,70.36,70.53,63.43,99.78,31.81,32.3,31.49
"MAB_4787c",206.69,194.7,184.54,173.42,120.89,150.7,165.8,109.66,154.12,199.26,191,232.05,264.24,336.99,363.89,215.42,185.84,197.55,194.04,196.14,155.34
"MAB_4788c",235.36,208.19,143.65,125.43,111.68,143.84,107.64,144.11,120.39,165.12,189.88,193.18,278.42,441.18,445.53,213.64,239.04,165.15,172.53,137.11,106.27
"MAB_4789c",195.49,157.85,112.46,102.16,92.12,101.78,58.84,56.38,51.12,159.77,152.41,185.07,249.39,404.8,493.47,202.86,237.57,148.84,122.89,106.24,116.3
"MAB_4790",153.92,150.65,143.46,77.46,46.82,71.77,296.57,427.86,373.43,87.51,130.69,135.39,158.72,226.74,191.07,112.92,113.41,96.38,80.61,94.45,77.72
"MAB_4791c",28.93,27.55,21.76,30.53,15.43,16.84,28.7,31.46,40.01,17.22,19.89,25.78,29.61,34.26,23.2,22.16,32.84,26.61,23.16,25.59,11.23
"MAB_4792",293.07,236.55,187.81,162.08,95.54,217.08,24.01,17.22,30.42,105.65,108.92,88.2,228.14,191.92,182.69,137.68,137.3,176.66,110.05,155.26,134.58
"MAB_4793c",332.69,254.32,238.18,141.45,111.42,192.91,34.8,43.2,42.15,378.38,312.42,398.72,405.14,338.95,281.23,176.38,203.92,185.91,389.97,374.39,325.91
"MAB_4794",82.15,87.03,49.27,73.34,49.73,109.49,17.7,19.31,15.92,115.43,93.09,134.64,84.59,101.64,84.38,96.68,104.97,92.2,121.19,116.97,99.49
"MAB_4795c",34.08,39.27,11.82,20,12,25.59,9.66,12.15,7.2,38.42,38.5,31.74,35.82,29.62,37.07,30.53,21.84,21.36,35.26,36.73,38.58
"MAB_4796",39.55,30.49,26.81,29.05,24.86,36.04,17.08,16.26,14,32.26,46.04,42.82,43.76,43,55.86,43.03,40.19,40.96,33.53,41.92,24.93
"MAB_4797",31.28,39.88,22.46,45.28,20.22,53.38,25.74,17.89,21.74,59.88,56.77,57.69,49.27,51,79.84,71.97,42.27,52.95,38.19,48.5,40.54
"MAB_4798",17.61,17.31,4.95,12.3,8.89,11.93,9.69,18.41,8.04,30.36,34.04,31.08,29.69,25.16,36.61,27.82,17.69,17.15,28.77,37.42,35.91
"MAB_4799c",80.5,38.2,34.91,37.34,29.31,61.36,40.03,60.92,38.32,89.45,109.27,109.77,92.04,80.5,94.73,59.82,57.41,70.81,104.86,121.7,110.88
"MAB_4800",97.92,80.03,74.76,88.09,46,81.51,38.08,44.39,37,107.92,133.86,137.96,111.27,109.09,115.73,91.62,78.55,88.62,101.36,142.27,108.08
"MAB_4801",209.61,239.28,132.2,318.91,215.68,289.23,32.01,39.55,34,431.35,399.73,485.16,172.27,168.76,184.35,240.51,222.74,277.54,628.91,676.23,648.76
"MAB_4802",112.49,109.03,61.19,64.23,41.62,68.05,18.72,20.46,21,53.57,50.18,48.39,70.07,70.57,78.41,53.5,52.92,49.92,46.12,63.84,48.84
"MAB_4803",17.49,24.07,10.89,6.45,18.07,26.09,7.35,10.99,8.16,12.99,7.35,10.99,14.01,14.41,29.07,17.97,19.51,11.39,5.11,3.07,4.14
"MAB_4804",23.86,23.53,9.2,29.3,15.64,23.73,8.54,22.16,9.72,19.04,11.64,16.43,13.7,17.16,20.28,27.35,33.12,35.45,24.81,13.76,18.15
"MAB_4805",308.3,290.09,243.16,266.34,183.82,328.46,1226.55,6381.84,1427.61,231.07,226.42,279.19,218.09,234.23,188.53,228.74,227.41,263.46,390.04,401.99,366.72
"MAB_4806c",711.28,526.75,497.65,414.45,249.23,525.54,6572.95,46238.06,9159.87,607.96,902.25,863.37,775.06,802.32,391.52,293.97,303.89,302.23,1036.74,1180.62,1052.79
"MAB_4807",184.57,193.93,141.11,169.15,114.16,188.28,4527.59,16135.3,4993.08,184.55,259.69,249.36,334.09,411.01,331.5,206.28,223.03,200.49,139.22,126.91,116.07
